"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES GRAZED  -  <b>VALUE</b>","CORN - ACRES GRAZED  -  <b>CV (%)</b>","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","90,167,000","","","","","","82,703,000","","","","","","14,604,067,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","94,004,000","","5,394,807,000","","34,124,000","","86,748,000","","3.48","","51,703,698,000","","15,148,038,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","88,019,000","","","","33,892,000","","80,753,000","","3.71","","49,339,261,000","","13,601,964,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","90,597,000","","","","","","83,136,000","","4.11","","52,951,760,000","","14,215,532,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","95,365,000","","","","","","87,451,000","","6.15","","61,927,548,000","","13,828,964,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","97,291,000","","","","","","87,365,000","","6.67","","74,155,299,000","","10,755,111,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","91,936,000","","","","","","83,879,000","","6.02","","76,651,242,000","","12,313,956,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","88,192,000","","","","","","81,446,000","","3.83","","64,529,628,000","","12,425,330,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","86,382,000","","","","","","79,490,000","","3.75","","46,640,936,000","","13,067,156,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","85,982,000","","","","","","78,570,000","","4.78","","49,104,148,000","","12,043,203,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","93,527,000","","","","","","86,520,000","","3.39","","54,666,959,000","","13,037,875,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","78,327,000","","","","","","70,638,000","","2.28","","32,083,011,000","","10,531,123,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","81,779,000","","","","","","75,117,000","","1.96","","22,194,287,000","","11,112,187,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","80,929,000","","","","","","73,631,000","","2.47","","24,377,913,000","","11,805,581,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","78,603,000","","","","","","70,944,000","","2.27","","24,472,254,000","","10,087,292,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","78,894,000","","","","","","69,330,000","","2.13","","20,882,448,000","","8,966,787,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","75,702,000","","","","","","68,768,000","","1.89","","18,878,819,000","","9,502,580,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","79,551,000","","","","","","72,440,000","","1.86","","18,499,002,000","","9,915,051,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","77,386,000","","","","","","70,487,000","","1.89","","17,103,991,000","","9,430,612,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","80,165,000","","","","","","72,589,000","","2.2","","18,922,084,000","","9,758,685,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","79,537,000","","","","","","72,671,000","","2.6","","22,351,507,000","","9,206,832,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","79,229,000","","","","","","72,644,000","","3.55","","25,149,013,000","","9,232,557,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","71,479,000","","","","","","65,210,000","","","","24,202,234,000","","7,400,051,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","78,921,000","","","","","","72,514,000","","","","22,874,154,000","","10,050,520,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","73,239,000","","","","","","62,933,000","","","","16,035,515,000","","6,337,730,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","79,311,000","","","","","","72,077,000","","","","19,723,258,000","","9,476,698,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","75,957,000","","","","","","68,822,000","","","","17,860,947,000","","7,474,765,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","74,166,000","","","","","","66,952,000","","","","18,191,643,000","","7,934,028,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","72,322,000","","","","","","64,783,000","","","","17,912,895,000","","7,531,953,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","67,717,000","","","","","","58,250,000","","","","12,661,362,000","","4,928,681,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","66,200,000","","","","","","59,505,000","","","","14,107,705,000","","7,131,300,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","76,580,000","","","","","","68,907,000","","","","12,507,263,000","","8,225,764,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","306,000","","83,398,000","","","","","","75,209,000","","","","19,518,762,000","","8,875,453,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","329,000","","80,517,000","","","","","","71,897,000","","","","20,143,883,000","","7,672,130,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","300,000","","60,207,000","","","","","","51,479,000","","","","13,552,853,000","","4,174,251,000",""
